date,nav,daily_return
2020-08-26,1.4450674288,-0.0093411761
2020-08-27,1.4496109194,0.0031441374
2020-08-28,1.4693333604,0.0136053342
2020-08-31,1.4619925822,-0.0049959923
2020-09-01,1.4669394558,0.0033836516
2020-09-02,1.4675685375,0.0004288396
2020-09-03,1.458279494,-0.0063295467
2020-09-04,1.4482562896,-0.0068733082
2020-09-07,1.4281060163,-0.013913472
2020-09-08,1.4324070953,0.0030117365
2020-09-09,1.4088722399,-0.016430284
2020-09-10,1.3986645126,-0.0072453179
2020-09-11,1.4105441347,0.0084935465
2020-09-14,1.4162637612,0.0040549079
2020-09-15,1.4223571841,0.0043024633
2020-09-16,1.4181164262,-0.0029814999
2020-09-17,1.4136112826,-0.0031768503
2020-09-18,1.4310445897,0.0123324618
2020-09-21,1.4197513477,-0.0078916074
2020-09-22,1.4095234335,-0.007204018
2020-09-23,1.4141755354,0.0033004786
2020-09-24,1.3938568488,-0.0143678674
2020-09-25,1.3940213717,0.0001180343
2020-09-28,1.3946125283,0.0004240656
2020-09-29,1.3989050981,0.0030779659
2020-09-30,1.3980051332,-0.0006433352
2020-10-09,1.4240607875,0.0186377386
2020-10-12,1.4498389106,0.0181018418
2020-10-13,1.4516136112,0.0012240674
2020-10-14,1.4481504292,-0.0023857464
2020-10-15,1.4391673911,-0.0062031112
2020-10-16,1.4395010933,0.0002318717
2020-10-19,1.4282813012,-0.0077942227
2020-10-20,1.4347354171,0.0045187989
2020-10-21,1.428459084,-0.0043745579
2020-10-22,1.4233816941,-0.0035544525
2020-10-23,1.4106595855,-0.0089379459
2020-10-26,1.4065369525,-0.0029224861
2020-10-27,1.4085049079,0.0013991495
2020-10-28,1.4103592207,0.0013165114
2020-10-29,1.4149506171,0.0032554802
2020-10-30,1.3944897183,-0.0144605038
2020-11-02,1.3996896391,0.0037289058
2020-11-03,1.4141956417,0.010363728
2020-11-04,1.4162186425,0.0014304957
2020-11-05,1.435607586,0.0136906428
2020-11-06,1.4282068025,-0.0051551577
2020-11-09,1.4506244056,0.0156963285
2020-11-10,1.4437239262,-0.0047569029
2020-11-11,1.4342379753,-0.0065704742
2020-11-12,1.4344447401,0.0001441635
2020-11-13,1.4284948009,-0.0041479041
2020-11-16,1.4396486725,0.007808129
2020-11-17,1.4341731233,-0.0038033927
2020-11-18,1.4346787839,0.0003525799
2020-11-19,1.4366828793,0.0013968949
2020-11-20,1.4431394202,0.0044940613
2020-11-23,1.4537730038,0.0073683688
2020-11-24,1.4529714859,-0.0005513363
2020-11-25,1.4394259642,-0.0093226342
2020-11-26,1.4401290349,0.0004884382
2020-11-27,1.4470904757,0.0048339007
2020-11-30,1.4407539246,-0.0043788216
2020-12-01,1.4602486133,0.013530894
2020-12-02,1.459901604,-0.0002376371
2020-12-03,1.4600396273,9.45429e-05
2020-12-04,1.4624346537,0.0016403845
2020-12-07,1.4527243757,-0.006639803
2020-12-08,1.4514463787,-0.0008797243
2020-12-09,1.4391479507,-0.0084732224
2020-12-10,1.4424884877,0.0023211908
2020-12-11,1.4296382757,-0.0089083636
2020-12-14,1.4355361932,0.0041254614
2020-12-15,1.4392038822,0.0025549262
2020-12-16,1.4397275919,0.0003638885
2020-12-17,1.4522501253,0.0086978491
2020-12-18,1.4491578463,-0.002129302
2020-12-21,1.4591013558,0.006861578
2020-12-22,1.4407550948,-0.0125736714
2020-12-23,1.4501870489,0.0065465353
2020-12-24,1.4410461321,-0.0063032674
2020-12-25,1.4514200996,0.0071989142
2020-12-28,1.4487772047,-0.0018209027
2020-12-29,1.4436412364,-0.0035450367
2020-12-30,1.4585147303,0.0103027632
2020-12-31,1.4741318067,0.0107075205
2021-01-04,1.4883041699,0.0096140407
2021-01-05,1.495751708,0.0050040431
2021-01-06,1.5022013154,0.0043119505
2021-01-07,1.5090300493,0.0045458181
2021-01-08,1.5099442595,0.0006058264
2021-01-11,1.4968377131,-0.0086801525
2021-01-12,1.5193087137,0.0150123159
2021-01-13,1.5121358706,-0.0047211229
2021-01-14,1.5024800796,-0.0063855314
2021-01-15,1.5020280299,-0.000300869
2021-01-18,1.5154253062,0.0089194583
2021-01-19,1.5109488703,-0.0029539139
2021-01-20,1.5225110784,0.0076522828
2021-01-21,1.5348151222,0.008081415
2021-01-22,1.5373220275,0.0016333598
2021-01-25,1.5401704423,0.001852842
2021-01-26,1.519643353,-0.0133278037
2021-01-27,1.5231526098,0.0023092634
2021-01-28,1.4992217541,-0.0157113973
2021-01-29,1.4881923206,-0.0073567726
2021-02-01,1.5004174434,0.0082147466
2021-02-02,1.5122379282,0.0078781308
2021-02-03,1.5101439589,-0.0013846824
2021-02-04,1.5005261526,-0.006368801
2021-02-05,1.499407737,-0.000745349
2021-02-08,1.5125701623,0.0087784163
2021-02-09,1.5303893369,0.0117807259
2021-02-10,1.544807071,0.0094209583
2021-02-18,1.5501831276,0.0034800829
2021-02-19,1.5575390877,0.00474522
2021-02-22,1.5398687433,-0.0113450407
2021-02-23,1.5383323399,-0.0009977496
2021-02-24,1.51843527,-0.0129341816
2021-02-25,1.5206759544,0.0014756535
2021-02-26,1.4976331784,-0.0151529824
2021-03-01,1.5150709056,0.0116435236
2021-03-02,1.5037821356,-0.0074509846
2021-03-03,1.5224869268,0.0124384981
2021-03-04,1.5001576407,-0.0146663237
2021-03-05,1.499120688,-0.0006912292
2021-03-08,1.4749007208,-0.0161561156
2021-03-09,1.4591778486,-0.0106602919
2021-03-10,1.4602892282,0.0007616478
2021-03-11,1.4822961677,0.0150702608
2021-03-12,1.4830860808,0.0005328983
2021-03-15,1.4714831734,-0.0078234889
2021-03-16,1.4771322795,0.0038390559
2021-03-17,1.4798240826,0.0018223169
2021-03-18,1.4869552846,0.0048189525
2021-03-19,1.4720831132,-0.010001761
2021-03-22,1.4830847486,0.0074735151
2021-03-23,1.4718774216,-0.0075567677
2021-03-24,1.4589785332,-0.0087635616
2021-03-25,1.4599796129,0.0006861511
2021-03-26,1.4773326683,0.0118858204
2021-03-29,1.4788523767,0.0010286839
2021-03-30,1.4855581949,0.0045344744
2021-03-31,1.4804967684,-0.0034070874
2021-04-01,1.4926184901,0.0081876043
2021-04-02,1.4950207997,0.0016094599
2021-04-06,1.4950563061,2.37498e-05
2021-04-07,1.4918609177,-0.0021373031
2021-04-08,1.4949348266,0.0020604527
2021-04-09,1.4876126859,-0.0048979665
2021-04-12,1.4725463771,-0.0101278437
2021-04-13,1.4706492537,-0.0012883285
2021-04-14,1.4811028888,0.0071081769
2021-04-15,1.4777810009,-0.0022428475
2021-04-16,1.4841898743,0.0043368221
2021-04-19,1.4989302546,0.0099316001
2021-04-20,1.4981871548,-0.0004957534
2021-04-21,1.4992203569,0.0006896349
2021-04-22,1.5017782762,0.0017061663
2021-04-23,1.5070725245,0.0035253196
2021-04-26,1.5010958845,-0.0039657282
2021-04-27,1.5030539551,0.0013044274
2021-04-28,1.5108003585,0.005153776
2021-04-29,1.5151418774,0.0028736549
2021-04-30,1.5100459509,-0.0033633329
2021-05-06,1.5058339803,-0.0027892996
2021-05-07,1.4970401257,-0.0058398567
2021-05-10,1.498763185,0.0011509774
2021-05-11,1.4953833981,-0.0022550506
2021-05-12,1.5027425088,0.00492122
2021-05-13,1.4934374374,-0.0061920597
2021-05-14,1.5119022357,0.0123639583
2021-05-17,1.5209492701,0.0059838753
2021-05-18,1.5234430645,0.0016396302
2021-05-19,1.5201116548,-0.0021867635
2021-05-20,1.5198363775,-0.0001810902
2021-05-21,1.5150234227,-0.0031667585
2021-05-24,1.51911974,0.002703798
2021-05-25,1.5391694073,0.0131982139
2021-05-26,1.5410909843,0.0012484506
2021-05-27,1.5460834719,0.00323958
2021-05-28,1.5446848216,-0.0009046409
2021-05-31,1.5518029503,0.0046081431
2021-06-01,1.5557843703,0.0025656737
2021-06-02,1.5470745477,-0.0055983482
2021-06-03,1.5423775839,-0.0030360294
2021-06-04,1.5467022476,0.0028038943
2021-06-07,1.5475455877,0.0005452504
2021-06-08,1.5420814918,-0.0035308142
2021-06-09,1.5425998035,0.0003361117
2021-06-10,1.5505723846,0.0051682757
2021-06-11,1.5462211911,-0.0028061853
2021-06-15,1.5361181118,-0.0065340453
2021-06-16,1.5193832013,-0.0108942863
2021-06-17,1.523641621,0.0028027293
2021-06-18,1.5274583974,0.0025050355
2021-06-21,1.5319156079,0.0029180569
2021-06-22,1.5384973194,0.004296393
2021-06-23,1.5470852431,0.0055820205
