type,date,name,code,close,pct_change,note
index,2026-07-09,恒生科技,HSTECH,4731.56,0.01,回填历史
us_index,2026-07-09,美股医疗ETF(IYH),IYH,68.62,0.09,美股收盘(回填历史)
us_index,2026-07-09,美股纳指100QQQ,QQQ,723.28,1.66,美股收盘(回填历史)
us_index,2026-07-09,美股医疗保健XLV,XLV,162.17,-0.08,美股收盘(回填历史)
index,2026-07-09,十年国债收益率,十年国债收益率,1.7376,0,回填历史
index,2026-07-10,上证指数,000001,3996.16,-1.0,回填历史
index,2026-07-10,中证消费,000932,11968.15,1.97,回填历史
index,2026-07-10,创业板指,399006,3842.73,-4.37,回填历史
us_index,2026-07-10,美股道指DIA,DIA,525.78,0.3,美股收盘(回填历史)
index,2026-07-10,恒生指数,HSI,24175.12,0.6,回填历史
index,2026-07-10,恒生科技,HSTECH,4721.66,-0.21,回填历史
us_index,2026-07-10,美股医疗ETF(IYH),IYH,67.89,-1.06,美股收盘(回填历史)
us_index,2026-07-10,美股纳指100QQQ,QQQ,725.51,0.31,美股收盘(回填历史)
us_index,2026-07-10,美股医疗保健XLV,XLV,160.84,-0.82,美股收盘(回填历史)
index,2026-07-10,十年国债收益率,十年国债收益率,1.7398,0,回填历史
index,2026-07-13,上证指数,000001,3913.79,-2.06,回填历史
index,2026-07-13,中证消费,000932,11953.61,-0.12,回填历史
index,2026-07-13,创业板指,399006,3723.52,-3.1,回填历史
us_index,2026-07-13,美股道指DIA,DIA,524.47,-0.25,美股收盘(回填历史)
index,2026-07-13,恒生指数,HSI,24213.72,0.16,回填历史
index,2026-07-13,恒生科技,HSTECH,4676.43,-0.96,回填历史
us_index,2026-07-13,美股医疗ETF(IYH),IYH,68.0,0.16,美股收盘(回填历史)
us_index,2026-07-13,美股纳指100QQQ,QQQ,711.74,-1.9,美股收盘(回填历史)
us_index,2026-07-13,美股医疗保健XLV,XLV,161.41,0.35,美股收盘(回填历史)
index,2026-07-13,十年国债收益率,十年国债收益率,1.7442,0,回填历史
index,2026-07-14,上证指数,000001,3967.13,1.36,回填历史
index,2026-07-14,中证消费,000932,11997.66,0.37,回填历史
index,2026-07-14,创业板指,399006,3851.14,3.43,回填历史
us_index,2026-07-14,美股道指DIA,DIA,524.69,0.04,美股收盘(回填历史)
index,2026-07-14,恒生指数,HSI,24340.73,0.52,回填历史
index,2026-07-14,恒生科技,HSTECH,4679.46,0.06,回填历史
us_index,2026-07-14,美股医疗ETF(IYH),IYH,66.74,-1.85,美股收盘(回填历史)
us_index,2026-07-14,美股纳指100QQQ,QQQ,719.69,1.12,美股收盘(回填历史)
us_index,2026-07-14,美股医疗保健XLV,XLV,158.29,-1.93,美股收盘(回填历史)
index,2026-07-14,十年国债收益率,十年国债收益率,1.7402,0,回填历史
index,2026-07-15,上证指数,000001,3955.58,-0.29,回填历史
index,2026-07-15,中证消费,000932,12439.52,3.68,回填历史
index,2026-07-15,创业板指,399006,3804.7,-1.21,回填历史
us_index,2026-07-15,美股道指DIA,DIA,525.95,0.24,美股收盘(回填历史)
index,2026-07-15,恒生指数,HSI,24681.1,1.4,回填历史
index,2026-07-15,恒生科技,HSTECH,4740.49,1.3,回填历史
us_index,2026-07-15,美股医疗ETF(IYH),IYH,66.81,0.1,美股收盘(回填历史)
us_index,2026-07-15,美股纳指100QQQ,QQQ,717.74,-0.27,美股收盘(回填历史)
us_index,2026-07-15,美股医疗保健XLV,XLV,158.29,0.0,美股收盘(回填历史)
index,2026-07-15,十年国债收益率,十年国债收益率,1.7406,0,回填历史
