date,code,name,nav_date,nav,pct
2026-08-13,001552,天弘证券保险A,2026-08-12,1.0465,0.26
2026-08-13,012323,华宝中证医疗C,2026-08-12,0.6039,-0.31
2026-08-13,000727,融通健康产业A/B,2026-08-12,2.567,0.51
2026-08-13,004424,汇添富文体娱乐A,2026-08-12,1.7959,-0.69
2026-08-13,110020,易方达沪深300,2026-08-13,1.9057,-0.52
2026-08-13,100032,富国红利增强A,2026-08-13,0.959,-0.83
2026-08-13,161616,融通医疗保健,2026-08-13,1.906,1.55
2026-08-13,519915,富国消费主题,2026-08-13,1.881,-0.58
2026-08-13,000071,华夏恒生ETF联接A,2026-08-13,1.5018,-0.13
2026-08-13,012348,天弘恒生科技A,2026-08-13,0.6544,0.34
2026-08-13,000248,汇添富主要消费A,2026-08-13,1.8769,0.15
2026-08-13,012323,华宝中证医疗C,2026-08-13,0.6116,1.28
2026-08-14,002708,大摩健康产业A,2026-08-13,2.096,1.75
2026-08-14,000968,广发养老产业,2026-08-13,0.8543,-0.3
2026-08-14,002742,泓德裕祥债券A,2026-08-13,1.2594,0.0
2026-08-14,004752,广发传媒联接A,2026-08-13,0.8594,-1.77
2026-08-14,005368,富国清洁能源,2026-08-13,1.1494,-0.28
2026-08-14,000369,广发全球医疗A,2026-08-12,2.597,-0.12
2026-08-14,001180,广发医药卫生,2026-08-13,0.8537,0.65
2026-08-14,000051,华夏沪深300联接A,2026-08-13,1.7788,-0.54
2026-08-14,001551,天弘医药100C,2026-08-13,0.7844,1.04
2026-08-14,164906,交银中概互联A,2026-08-12,0.984,-2.02
2026-08-14,016280,广发全球医疗C,2026-08-12,2.554,-0.12
2026-08-14,001469,广发金融地产A,2026-08-13,1.2283,0.27
2026-08-14,001552,天弘证券保险A,2026-08-13,1.0504,0.37
2026-08-14,000727,融通健康产业A/B,2026-08-13,2.597,1.17
2026-08-14,004424,汇添富文体娱乐A,2026-08-13,1.7809,-0.84
2026-08-14,519915,富国消费主题,2026-08-14,1.874,-0.37
2026-08-14,012348,天弘恒生科技A,2026-08-14,0.6432,-1.71
2026-08-14,164906,交银海外互联,2026-08-13,0.9668,-1.75
2026-08-14,016280,广发全球医疗C,2026-08-13,2.553,-0.04
2026-08-14,012323,华宝中证医疗C,2026-08-14,0.6053,-1.03
2026-08-17,002708,大摩健康产业混合A,2026-08-14,2.075,-1.0
2026-08-17,000968,广发养老产业,2026-08-14,0.8434,-1.28
2026-08-17,002742,泓德裕祥债券A,2026-08-14,1.2581,-0.1
2026-08-17,004752,广发传媒ETF联接A,2026-08-14,0.8597,0.03
2026-08-17,005368,富国清洁能源,2026-08-14,1.1507,0.11
2026-08-17,110020,易方达沪深300,2026-08-14,1.9064,0.04
2026-08-17,000369,广发全球医疗A,2026-08-13,2.596,-0.04
2026-08-17,100032,富国红利增强A,2026-08-14,0.961,0.21
2026-08-17,001180,广发医药卫生,2026-08-14,0.8432,-1.23
2026-08-17,161616,融通医疗保健,2026-08-14,1.888,-0.94
2026-08-17,000051,华夏沪深300,2026-08-14,1.7792,0.02
2026-08-17,000071,华夏恒生ETF联接A,2026-08-14,1.4858,-1.07
2026-08-17,001551,天弘医药100C,2026-08-14,0.7767,-0.98
2026-08-17,000248,汇添富主要消费A,2026-08-14,1.8515,-1.35
2026-08-17,001469,广发金融地产,2026-08-14,1.2168,-0.94
2026-08-17,001552,天弘证券保险,2026-08-14,1.0357,-1.4
2026-08-17,000727,融通健康产业A/B,2026-08-14,2.589,-0.31
2026-08-17,004424,汇添富文体娱乐,2026-08-14,1.7805,-0.02
2026-08-17,519915,富国消费主题,2026-08-17,1.884,0.53
2026-08-18,002708,大摩健康产业混合A,2026-08-17,2.11,1.69
2026-08-18,000968,广发养老产业,2026-08-17,0.8509,0.89
2026-08-18,002742,泓德裕祥债券A,2026-08-17,1.2588,0.06
2026-08-18,004752,广发传媒ETF联接A,2026-08-17,0.8516,-0.94
2026-08-18,005368,富国清洁能源,2026-08-17,1.1699,1.67
2026-08-18,110020,易方达沪深300,2026-08-17,1.9357,1.54
2026-08-18,000369,广发全球医疗A,2026-08-14,2.577,-0.73
2026-08-18,100032,富国红利增强A,2026-08-17,0.966,0.52
2026-08-18,001180,广发医药卫生,2026-08-17,0.85,0.81
2026-08-18,161616,融通医疗保健,2026-08-17,1.916,1.48
2026-08-18,000051,华夏沪深300,2026-08-17,1.8067,1.55
2026-08-18,000071,华夏恒生ETF联接A,2026-08-17,1.5045,1.26
2026-08-18,012348,天弘恒生科技A,2026-08-17,0.6529,1.51
2026-08-18,001551,天弘医药100C,2026-08-17,0.7767,0.0
2026-08-18,164906,交银海外互联,2026-08-14,0.956,-1.12
2026-08-18,000248,汇添富主要消费A,2026-08-17,1.8319,-1.06
2026-08-18,016280,广发全球医疗C,2026-08-14,2.534,-0.74
2026-08-18,001469,广发金融地产,2026-08-17,1.219,0.18
2026-08-18,001552,天弘证券保险,2026-08-17,1.0422,0.63
2026-08-18,012323,华宝中证医疗C,2026-08-17,0.6091,0.63
2026-08-18,000727,融通健康产业A/B,2026-08-17,2.594,0.19
2026-08-18,004424,汇添富文体娱乐,2026-08-17,1.7857,0.29
2026-08-18,161616,融通医疗保健,2026-08-18,1.915,-0.05
2026-08-18,004424,汇添富文体娱乐,2026-08-18,1.7966,0.61
2026-08-19,002708,大摩健康产业混合A,2026-08-18,2.085,-1.18
2026-08-19,000968,广发养老产业,2026-08-18,0.8533,0.28
2026-08-19,002742,泓德裕祥债券A,2026-08-18,1.2594,0.05
2026-08-19,004752,广发传媒ETF联接A,2026-08-18,0.839,-1.48
2026-08-19,005368,富国清洁能源,2026-08-18,1.1649,-0.43
2026-08-19,110020,易方达沪深300,2026-08-18,1.9296,-0.32
2026-08-19,000369,广发全球医疗A,2026-08-17,2.577,0.0
2026-08-19,100032,富国红利增强A,2026-08-18,0.971,0.52
2026-08-19,001180,广发医药卫生,2026-08-18,0.8461,-0.46
2026-08-19,000051,华夏沪深300,2026-08-18,1.8009,-0.32
2026-08-19,519915,富国消费主题,2026-08-18,1.904,1.06
2026-08-19,000071,华夏恒生ETF联接A,2026-08-18,1.5065,0.13
2026-08-19,012348,天弘恒生科技A,2026-08-18,0.6482,-0.72
2026-08-19,001551,天弘医药100C,2026-08-18,0.7713,-0.7
2026-08-19,164906,交银海外互联,2026-08-17,0.9632,0.75
2026-08-19,000248,汇添富主要消费A,2026-08-18,1.8473,0.84
2026-08-19,016280,广发全球医疗C,2026-08-17,2.535,0.04
2026-08-19,001469,广发金融地产,2026-08-18,1.2161,-0.24
2026-08-19,001552,天弘证券保险,2026-08-18,1.0297,-1.2
2026-08-19,012323,华宝中证医疗C,2026-08-18,0.6087,-0.07
2026-08-19,000727,融通健康产业A/B,2026-08-18,2.576,-0.69
